id_venta,id_cliente,nombre_cliente,id_producto,nombre_producto,marca,talla,cantidad_vendida,fecha_venta,ingreso_total
1,101,Juan Pérez,201,Nike Air Max,Nike,42,2,2025-01-15,320
2,102,Maria Gómez,202,Adidas Ultraboost,Adidas,38,1,2025-01-16,180
3,103,Carlos Díaz,203,Puma RS-X,Puma,40,3,2025-02-01,450
4,104,Ana Torres,204,Reebok Classic,Reebok,39,2,2025-02-15,260
5,105,José Fernández,205,New Balance 574,New Balance,41,1,2025-03-05,130
6,106,Laura Medina,206,Converse Chuck Taylor,Converse,37,2,2025-03-18,160
7,107,Roberto Sánchez,207,Vans Old Skool,Vans,42,4,2025-03-25,240
8,108,Elena Ríos,208,Jordan Retro 1,Jordan,40,1,2025-04-02,210
9,109,Andrés Núñez,209,Asics Gel-Kayano,Asics,41,3,2025-04-10,390
10,110,Patricia Castro,210,Under Armour HOVR,Under Armour,39,2,2025-04-18,260
11,111,Fernando Luján,211,Skechers Go Run,Skechers,40,2,2025-04-20,200
12,138,Luisa Salas,203,Nike Air Max,Nike,38,3,2025-01-04,398.28
13,123,Elena Ríos,209,Converse Chuck Taylor,Converse,42,3,2025-01-18,479.57
14,115,David Peralta,210,Asics Gel-Kayano,Asics,37,1,2025-01-27,90.12
15,101,Carlos Díaz,203,Reebok Classic,Reebok,39,2,2025-03-31,253.12
16,117,Andrés Núñez,205,Under Armour HOVR,Under Armour,44,2,2025-04-04,201.7
17,101,Brenda León,209,Adidas Ultraboost,Adidas,37,3,2025-01-17,508.78
18,141,José Fernández,208,Under Armour HOVR,Under Armour,38,1,2025-02-19,158.67
19,126,Rosa Ramírez,203,Puma RS-X,Puma,38,4,2025-04-19,359.87
20,150,Luisa Salas,206,Reebok Classic,Reebok,37,3,2025-03-13,324.3
21,150,Elena Ríos,208,Jordan Retro 1,Jordan,41,4,2025-03-03,527.22
22,120,Diana Cueva,210,Puma RS-X,Puma,38,2,2025-01-06,287.67
23,133,Diana Cueva,202,Nike Air Max,Nike,41,3,2025-04-15,369.61
24,106,Fernando Luján,208,Puma RS-X,Puma,39,2,2025-03-24,244.94
25,141,Brenda León,204,Converse Chuck Taylor,Converse,41,3,2025-03-25,453.38
26,112,Marco Acuña,204,Nike Air Max,Nike,37,4,2025-04-09,709.87
27,130,David Peralta,210,Vans Old Skool,Vans,40,2,2025-03-09,224.63
28,131,Maria Gómez,201,Skechers Go Run,Skechers,36,1,2025-03-09,176.62
29,126,Luisa Salas,207,Vans Old Skool,Vans,42,2,2025-02-17,334.45
30,132,Luis Moreno,203,Adidas Ultraboost,Adidas,36,4,2025-01-03,444.48
31,110,Roberto Sánchez,209,Puma RS-X,Puma,41,1,2025-01-05,145.77
32,146,Juan Pérez,206,Under Armour HOVR,Under Armour,40,3,2025-01-09,398.67
33,108,Rosa Ramírez,201,Jordan Retro 1,Jordan,36,3,2025-01-23,496.56
34,135,Marco Acuña,205,Adidas Ultraboost,Adidas,43,1,2025-04-07,127.89
35,118,José Fernández,208,Nike Air Max,Nike,36,1,2025-04-16,108.82
36,106,Carlos Díaz,211,Asics Gel-Kayano,Asics,37,3,2025-03-25,398.7
37,142,Andrés Núñez,201,Jordan Retro 1,Jordan,43,4,2025-01-19,359.53
38,113,Carlos Díaz,211,Vans Old Skool,Vans,44,1,2025-04-11,130.71
39,108,José Fernández,211,Skechers Go Run,Skechers,40,1,2025-04-07,118.93
40,121,Patricia Castro,209,Skechers Go Run,Skechers,41,4,2025-01-10,520.42
41,110,Maria Gómez,205,New Balance 574,New Balance,37,3,2025-03-26,307.02
42,120,Diana Cueva,207,Nike Air Max,Nike,42,2,2025-02-15,330.18
43,128,Marco Acuña,209,Vans Old Skool,Vans,41,1,2025-04-03,94.94
44,135,Fernando Luján,209,Vans Old Skool,Vans,38,1,2025-02-15,117.83
45,107,José Fernández,201,Adidas Ultraboost,Adidas,42,2,2025-02-15,223.88
46,116,Iván Rivas,207,Reebok Classic,Reebok,41,1,2025-04-20,160.75
47,132,Iván Rivas,210,Asics Gel-Kayano,Asics,41,4,2025-03-20,597.58
48,111,Roberto Sánchez,203,Vans Old Skool,Vans,37,4,2025-03-01,462.6
49,117,Luis Moreno,206,New Balance 574,New Balance,41,1,2025-01-07,138.94
50,127,Andrés Núñez,207,Vans Old Skool,Vans,44,3,2025-04-30,504.89
51,113,Iván Rivas,208,Jordan Retro 1,Jordan,37,2,2025-01-08,344.97
52,148,Luisa Salas,203,Reebok Classic,Reebok,44,1,2025-04-26,144.28
53,108,Patricia Castro,203,Puma RS-X,Puma,41,1,2025-04-06,90.34
54,127,Fernando Luján,210,Nike Air Max,Nike,36,2,2025-01-26,320.4
55,102,Luisa Salas,208,Skechers Go Run,Skechers,41,4,2025-03-25,322.68
56,119,Marco Acuña,204,Jordan Retro 1,Jordan,43,3,2025-02-10,308.43
57,134,Rosa Ramírez,203,Asics Gel-Kayano,Asics,42,3,2025-01-02,290.6
58,112,Ana Torres,208,Converse Chuck Taylor,Converse,39,4,2025-03-25,658.89
59,135,Fernando Luján,209,Converse Chuck Taylor,Converse,41,3,2025-01-29,295.4
60,138,Roberto Sánchez,210,Under Armour HOVR,Under Armour,38,1,2025-02-16,109.48
